11-19 02:07:40.909 I/CamX    (29295): [ INFO][STATS_AF ] af_fullsweep.cpp:200: af_fullsweep_srch_far_to_near CAF_SCAN_Fullsweep_far_to_near Index 46, Focusval 770951680.000000, LensPosition 307, H1 1535232384.000000, H2 0.000000, V 6670978.500000, HV 770951680.000000, H1_norm 1859355.125000, H2_norm 0.000000, V_norm 5550.328613, HV_norm 932452.750000
11-19 02:07:41.075 I/CamX    (29295): [ INFO][STATS_AF ] af_fullsweep.cpp:200: af_fullsweep_srch_far_to_near CAF_SCAN_Fullsweep_far_to_near Index 47, Focusval 780512576.000000, LensPosition 305, H1 1554305792.000000, H2 0.000000, V 6719328.500000, HV 780512576.000000, H1_norm 1878725.125000, H2_norm 0.000000, V_norm 5586.945801, HV_norm 942156.062500
11-19 02:07:41.247 I/CamX    (29295): [ INFO][STATS_AF ] af_fullsweep.cpp:200: af_fullsweep_srch_far_to_near CAF_SCAN_Fullsweep_far_to_near Index 48, Focusval 771482624.000000, LensPosition 303, H1 1536253568.000000, H2 0.000000, V 6711635.500000, HV 771482624.000000, H1_norm 1859706.875000, H2_norm 0.000000, V_norm 5575.038574, HV_norm 932640.937500
11-19 02:07:41.412 I/CamX    (29295): [ INFO][STATS_AF ] af_fullsweep.cpp:200: af_fullsweep_srch_far_to_near CAF_SCAN_Fullsweep_far_to_near Index 49, Focusval 773167616.000000, LensPosition 301, H1 1539739520.000000, H2 0.000000, V 6595692.500000, HV 773167616.000000, H1_norm 1862958.625000, H2_norm 0.000000, V_norm 5552.233887, HV_norm 934255.437500
11-19 02:07:41.576 I/CamX    (29295): [ INFO][STATS_AF ] af_fullsweep.cpp:200: af_fullsweep_srch_far_to_near CAF_SCAN_Fullsweep_far_to_near Index 50, Focusval 779560064.000000, LensPosition 299, H1 1552400512.000000, H2 0.000000, V 6719657.000000, HV 779560064.000000, H1_norm 1876453.000000, H2_norm 0.000000, V_norm 5634.663086, HV_norm 941043.812500
11-19 02:07:41.743 I/CamX    (29295): [ INFO][STATS_AF ] af_fullsweep.cpp:200: af_fullsweep_srch_far_to_near CAF_SCAN_Fullsweep_far_to_near Index 51, Focusval 774480960.000000, LensPosition 297, H1 1542227840.000000, H2 0.000000, V 6734100.000000, HV 774480960.000000, H1_norm 1869340.375000, H2_norm 0.000000, V_norm 5703.771973, HV_norm 937522.062500
11-19 02:07:41.914 I/CamX    (29295): [ INFO][STATS_AF ] af_fullsweep.cpp:200: af_fullsweep_srch_far_to_near CAF_SCAN_Fullsweep_far_to_near Index 52, Focusval 779027008.000000, LensPosition 295, H1 1551390208.000000, H2 0.000000, V 6663821.500000, HV 779027008.000000, H1_norm 1886155.125000, H2_norm 0.000000, V_norm 5647.129395, HV_norm 945901.125000
11-19 02:07:42.076 I/CamX    (29295): [ INFO][STATS_AF ] af_fullsweep.cpp:200: af_fullsweep_srch_far_to_near CAF_SCAN_Fullsweep_far_to_near Index 53, Focusval 778372416.000000, LensPosition 293, H1 1550190208.000000, H2 0.000000, V 6554593.000000, HV 778372416.000000, H1_norm 1886844.500000, H2_norm 0.000000, V_norm 5594.090332, HV_norm 946219.312500
11-19 02:07:42.243 I/CamX    (29295): [ INFO][STATS_AF ] af_fullsweep.cpp:200: af_fullsweep_srch_far_to_near CAF_SCAN_Fullsweep_far_to_near Index 54, Focusval 772540480.000000, LensPosition 291, H1 1538460032.000000, H2 0.000000, V 6620892.500000, HV 772540480.000000, H1_norm 1872051.000000, H2_norm 0.000000, V_norm 5681.735840, HV_norm 938866.375000
11-19 02:07:42.411 I/CamX    (29295): [ INFO][STATS_AF ] af_fullsweep.cpp:200: af_fullsweep_srch_far_to_near CAF_SCAN_Fullsweep_far_to_near Index 55, Focusval 778271936.000000, LensPosition 289, H1 1551354112.000000, H2 0.000000, V 5189738.500000, HV 778271936.000000, H1_norm 1891111.375000, H2_norm 0.000000, V_norm 4583.250488, HV_norm 947847.312500
11-19 02:07:42.577 I/CamX    (29295): [ INFO][STATS_AF ] af_fullsweep.cpp:200: af_fullsweep_srch_far_to_near CAF_SCAN_Fullsweep_far_to_near Index 56, Focusval 777794688.000000, LensPosition 287, H1 1549772032.000000, H2 0.000000, V 5817300.000000, HV 777794688.000000, H1_norm 1890892.875000, H2_norm 0.000000, V_norm 5068.067383, HV_norm 947980.500000
11-19 02:07:42.744 I/CamX    (29295): [ INFO][STATS_AF ] af_fullsweep.cpp:200: af_fullsweep_srch_far_to_near CAF_SCAN_Fullsweep_far_to_near Index 57, Focusval 782027456.000000, LensPosition 285, H1 1558932864.000000, H2 0.000000, V 5122017.000000, HV 782027456.000000, H1_norm 1902940.375000, H2_norm 0.000000, V_norm 4585.274414, HV_norm 953762.812500
11-19 02:07:42.911 I/CamX    (29295): [ INFO][STATS_AF ] af_fullsweep.cpp:200: af_fullsweep_srch_far_to_near CAF_SCAN_Fullsweep_far_to_near Index 58, Focusval 783831360.000000, LensPosition 283, H1 1562472064.000000, H2 0.000000, V 5190672.000000, HV 783831360.000000, H1_norm 1909141.375000, H2_norm 0.000000, V_norm 4592.629395, HV_norm 956867.000000
11-19 02:07:43.077 I/CamX    (29295): [ INFO][STATS_AF ] af_fullsweep.cpp:200: af_fullsweep_srch_far_to_near CAF_SCAN_Fullsweep_far_to_near Index 59, Focusval 781636288.000000, LensPosition 281, H1 1558049152.000000, H2 0.000000, V 5223461.500000, HV 781636288.000000, H1_norm 1906451.000000, H2_norm 0.000000, V_norm 4758.437012, HV_norm 955604.687500
11-19 02:07:43.246 I/CamX    (29295): [ INFO][STATS_AF ] af_fullsweep.cpp:200: af_fullsweep_srch_far_to_near CAF_SCAN_Fullsweep_far_to_near Index 60, Focusval 783822656.000000, LensPosition 279, H1 1562508928.000000, H2 0.000000, V 5136383.000000, HV 783822656.000000, H1_norm 1914981.250000, H2_norm 0.000000, V_norm 4710.558594, HV_norm 959845.875000
11-19 02:07:43.411 I/CamX    (29295): [ INFO][STATS_AF ] af_fullsweep.cpp:200: af_fullsweep_srch_far_to_near CAF_SCAN_Fullsweep_far_to_near Index 61, Focusval 787238976.000000, LensPosition 277, H1 1569283328.000000, H2 0.000000, V 5194617.000000, HV 787238976.000000, H1_norm 1923773.000000, H2_norm 0.000000, V_norm 4768.715332, HV_norm 964270.875000
11-19 02:07:43.578 I/CamX    (29295): [ INFO][STATS_AF ] af_fullsweep.cpp:200: af_fullsweep_srch_far_to_near CAF_SCAN_Fullsweep_far_to_near Index 62, Focusval 794764160.000000, LensPosition 275, H1 1584329088.000000, H2 0.000000, V 5199294.000000, HV 794764160.000000, H1_norm 1939279.500000, H2_norm 0.000000, V_norm 4809.247070, HV_norm 972044.375000
11-19 02:07:43.746 I/CamX    (29295): [ INFO][STATS_AF ] af_fullsweep.cpp:200: af_fullsweep_srch_far_to_near CAF_SCAN_Fullsweep_far_to_near Index 63, Focusval 795466752.000000, LensPosition 273, H1 1585636096.000000, H2 0.000000, V 5297450.000000, HV 795466752.000000, H1_norm 1946401.250000, H2_norm 0.000000, V_norm 4947.644531, HV_norm 975674.437500
11-19 02:07:43.913 I/CamX    (29295): [ INFO][STATS_AF ] af_fullsweep.cpp:200: af_fullsweep_srch_far_to_near CAF_SCAN_Fullsweep_far_to_near Index 64, Focusval 794016576.000000, LensPosition 271, H1 1582801920.000000, H2 0.000000, V 5231261.500000, HV 794016576.000000, H1_norm 1944018.750000, H2_norm 0.000000, V_norm 4877.715332, HV_norm 974448.250000
